account_rewards,date
14492.695734729758,2022-07-06
-2095.4270075379172,2022-07-07
-7494.449901889777,2022-07-08
-6454.486573997536,2022-07-11
-4290.221393264714,2022-07-12
-6030.443644485436,2022-07-13
20281.438709259033,2022-07-14
-5315.068000793457,2022-07-15
25932.418098449707,2022-07-18
9504.783882141113,2022-07-19
7299.003009796143,2022-07-20
-5793.934226989746,2022-07-21
-1969.1797065734863,2022-07-22
-16355.761875152588,2022-07-25
19444.78172683716,2022-07-26
11788.769790649414,2022-07-27
3784.16312789917,2022-07-28
-936.6379680597456,2022-07-29
-3583.043786621187,2022-08-01
10825.26379203808,2022-08-02
-3805.0461915435735,2022-08-03
1588.3820824204013,2022-08-04
1459.8470092315692,2022-08-05
-2971.1080552025232,2022-08-08
17069.871551513672,2022-08-09
1255.3125915527344,2022-08-10
13636.567848205566,2022-08-11
5349.026809692383,2022-08-12
10046.409252166748,2022-08-15
-3413.939109802246,2022-08-16
-118.35136795043945,2022-08-17
-9514.25259399414,2022-08-18
-19720.241729736328,2022-08-19
-7945.270214080811,2022-08-22
2781.525661468506,2022-08-23
7036.282638549805,2022-08-24
-31638.72430419922,2022-08-25
-5065.747859954834,2022-08-26
-6582.104307174683,2022-08-29
-4783.1683177948,2022-08-30
7331.005683898926,2022-08-31
-10402.501611709595,2022-09-01
-6644.8738803863525,2022-09-02
14865.276777267456,2022-09-06
5890.341491699219,2022-09-07
10097.489688873291,2022-09-08
4803.862331390381,2022-09-09
-37720.34951591492,2022-09-12
-1775.9063720703125,2022-09-13
-5208.432186126709,2022-09-14
-1364.3086128234863,2022-09-15
6736.3738651275635,2022-09-16
-9906.147951126099,2022-09-19
-12312.093032836914,2022-09-20
-3402.6014976501465,2022-09-21
-12279.861587524414,2022-09-22
-6902.584449768066,2022-09-23
-3394.7769470214844,2022-09-26
16204.891555786133,2022-09-27
-14076.39499282837,2022-09-28
-15577.217084884644,2022-09-29
21390.39587211609,2022-09-30
