date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-04-06,37,100,31,0,0,45,5,0,81,67,0,0,0,28,0,100,44,75,0,57,100,0,33,0,0,100,0,0,100
2021-04-07,100,72,-19,100,100,50,62,0,45,-67,0,0,0,-28,86,100,72,-75,29,-57,28,0,-33,59,100,-93,0,0,51
2021-04-08,56,40,100,100,-87,-95,-17,0,9,0,100,100,66,0,-86,55,-5,100,42,6,-100,99,0,-27,100,-7,100,13,-53
2021-04-09,-100,100,92,76,-9,93,-33,18,-97,0,-86,88,-30,3,0,-15,73,3,100,-6,-28,-68,100,-32,34,0,59,100,-8
2021-04-12,-89,24,43,-100,-4,-93,-17,17,20,0,18,-14,-36,13,27,21,73,23,76,16,0,100,98,0,-37,14,100,-100,100
2021-04-13,40,48,-100,-28,0,71,100,-35,45,46,100,100,82,50,-27,60,100,-100,100,-16,0,-12,68,100,58,-14,-83,100,-100
2021-04-14,-44,-11,-100,-100,0,-63,44,73,-100,16,52,-100,100,16,26,-1,-99,100,77,0,0,100,-100,96,-76,0,100,-51,-90
2021-04-15,0,100,98,99,0,100,-68,97,43,-62,5,-57,42,7,43,100,55,71,-20,3,0,100,88,66,-37,41,-75,86,0
2021-04-16,56,-15,-100,39,52,85,-18,100,-46,0,13,84,-44,28,0,94,-61,100,-28,23,0,-100,-60,100,100,53,-100,46,0
2021-04-19,100,49,-2,-100,100,33,-30,100,0,82,-100,100,-100,100,67,54,60,100,-65,-26,0,71,85,14,11,-19,82,100,0
2021-04-20,0,0,-29,100,0,0,-28,0,100,100,0,-54,-80,-100,75,-80,-26,-95,100,0,0,100,-79,0,0,-75,-49,-53,100
2021-04-21,100,-32,0,-100,-100,77,0,-100,-100,35,-16,0,100,100,-100,-100,-93,100,100,100,0,0,-50,-100,74,0,0,100,0
2021-04-22,100,-1,0,100,100,-1,0,-36,0,64,0,100,-93,-100,-16,0,0,1,-100,0,0,-41,-60,0,-79,0,-100,-33,-61
2021-04-23,-42,-84,-14,0,100,-100,0,0,0,100,100,-51,-7,-40,-95,50,2,0,0,0,0,-100,100,100,-71,0,0,100,-38
2021-04-26,0,-97,85,100,0,-42,1,59,0,0,-100,89,0,0,100,0,100,0,-100,-76,0,100,-76,100,-28,0,-34,0,0
2021-04-27,0,100,67,100,-100,0,-1,-69,80,0,-86,-100,77,100,0,-13,0,100,0,-24,0,0,-100,100,-100,0,16,100,-1
2021-04-28,0,100,100,-63,-65,100,0,-100,-37,0,0,10,-22,0,0,81,-100,-59,0,0,0,-53,-14,100,-49,0,3,90,0
2021-04-29,100,-50,-44,100,-87,-23,0,0,-43,100,0,-94,-55,97,-37,-52,-57,19,-100,0,0,0,0,0,0,100,-2,-100,100
2021-04-30,100,0,-80,-32,0,1,0,100,0,0,72,-100,0,100,-63,-100,-100,-29,-21,0,0,-76,0,100,100,-30,-17,-100,-7
2021-05-03,86,1,41,100,0,-100,36,37,97,69,-72,-84,25,100,0,37,-32,6,-100,26,0,-78,0,-52,-55,-49,0,77,-71
2021-05-04,0,0,100,0,100,-30,100,-65,-71,0,0,-17,92,0,0,0,0,0,-90,-26,0,0,0,-27,100,-21,0,-35,0
2021-05-05,68,-100,-60,-100,-46,-18,7,17,-14,0,48,0,-13,-100,94,55,68,-100,100,94,0,-100,28,-67,-100,0,0,100,95
2021-05-06,-19,-18,76,-13,13,-74,-100,37,53,100,-48,0,100,22,-7,-69,6,4,-100,2,0,-9,-21,-91,-37,0,56,86,-8
2021-05-07,-32,-100,-5,-71,8,100,10,-100,-45,15,100,17,2,-68,-60,-9,49,38,0,-96,100,-26,-7,-18,-8,45,-56,-100,-54
2021-05-10,-40,100,-5,-100,-13,25,-53,100,100,49,-71,-17,29,40,-27,-11,-100,72,0,0,-83,30,60,100,66,0,34,100,-55
